source,target,n
1206,1512,2
1324,1512,59
355,1514,2
920,1519,4
1403,1519,3
228,1520,2
538,1520,3
1367,1520,3
329,1523,3
1084,1523,5
1512,1523,2
63,1524,3
141,1524,3
324,1524,3
379,1524,3
1324,1524,10
1414,1524,2
10,1530,2
994,1532,6
1324,1532,4
1324,1533,4
308,1534,2
395,1545,2
1374,1545,2
1317,1548,2
1496,1548,3
932,7400,2
994,7400,5
1324,7400,97
1072,1550,3
1324,1550,4
1487,1552,2
1324,1555,2
118,1559,2
1046,1559,4
1512,1559,3
285,1566,2
1308,1566,2
1414,1567,2
1524,1567,2
1,1571,3
490,1571,5
538,1571,3
1207,1571,3
1324,1571,3
1232,1572,2
1298,1569,2
59,1577,9
162,1577,5
994,1577,3
1324,1577,4
426,1578,2
1338,1578,2
973,1579,2
1163,1584,3
1148,1584,2
475,1595,2
978,1595,3
1324,1595,4
1349,1595,2
1321,1597,2
1324,597,2
84,598,2
337,1616,3
478,1616,3
596,609,3
1279,610,2
1216,612,2
40,616,4
58,616,67
487,616,2
914,616,5
1216,616,16
1324,616,42
118,617,3
240,617,13
1084,617,2
1324,617,18
1512,617,16
57,622,5
994,622,6
58,630,8
79,630,2
1887,630,2
1324,630,3
1348,630,3
616,630,2
141,631,8
1157,631,2
1287,631,14
551,632,2
564,632,2
520,632,2
1371,632,2
1,682,56
33,682,3
58,682,39
197,682,2
593,682,4
387,682,2
463,682,16
502,682,6
914,682,27
973,682,2
994,682,6
1012,682,6
1037,682,3
1039,682,2
1062,682,15
1206,682,9
1216,682,31
1262,682,8
1314,682,2
1324,682,429
1365,682,3
616,682,49
337,645,2
463,645,2
1206,645,2
1305,645,2
1324,645,2
337,640,2
478,640,2
1616,640,2
337,648,3
478,648,3
1616,648,3
640,648,2
1,649,14
33,649,8
149,649,2
994,649,2
1062,649,15
1324,649,4
682,649,2
937,653,2
1217,653,2
1492,653,2
1036,655,2
50,656,3
59,656,2
994,656,2
463,657,2
242,658,5
1475,658,5
981,661,2
1313,661,2
1761,662,3
247,662,2
1216,662,4
462,671,2
442,672,2
1077,672,2
914,677,3
1324,677,2
682,677,2
915,679,2
1470,689,3
481,692,2
200,698,2
1475,698,2
1183,704,2
1330,706,3
1070,664,2
1327,664,2
264,717,4
192,718,4
264,718,2
405,718,3
1324,719,3
915,720,2
679,720,4
914,726,2
1328,726,2
1359,726,6
119,782,2
185,782,2
556,782,2
534,730,2
1192,730,3
645,1638,2
1018,744,2
1154,744,2
1328,744,2
726,744,2
1592,746,2
237,748,2
1322,748,2
680,752,2
1528,755,2
1479,756,2
1274,762,2
330,1224,7
994,1224,2
1324,1224,5
1490,1224,9
442,770,3
1077,770,3
672,770,2
1324,771,2
214,784,5
1463,784,2
1233,791,2
1324,791,4
20,792,2
439,792,20
994,792,5
1324,792,2
994,793,3
1324,793,16
410,1085,2
1324,1085,15
2516,1085,3
791,1085,8
121,803,6
359,803,2
994,803,3
1324,803,2
121,811,2
359,811,2
803,811,2
142,806,4
113,808,7
120,808,4
121,808,2
318,808,5
567,808,2
994,808,5
1131,808,3
1153,808,2
1324,808,28
1379,808,2
597,808,2
803,808,4
589,816,3
1324,816,4
1379,816,4
808,816,2
113,817,7
121,817,8
214,817,2
573,817,7
1153,817,2
1324,817,8
1463,817,3
784,817,4
809,817,2
442,827,3
1077,827,2
1146,827,2
770,827,2
200,834,2
1475,834,2
698,834,2
915,838,2
679,838,4
720,838,4
1206,839,2
1314,839,2
1324,839,7
537,840,15
1324,840,6
191,842,2
1465,842,2
538,843,2
1520,843,2
1368,848,3
141,853,4
410,853,10
463,853,5
968,853,2
1029,853,4
1287,853,3
1324,853,72
1363,853,2
1395,853,5
614,853,2
1085,853,6
1035,857,2
200,860,2
1475,860,2
698,860,2
834,860,2
38,872,9
135,872,9
136,872,2
318,872,2
589,872,4
994,872,5
1206,872,2
1324,872,31
1594,872,2
817,872,2
214,873,2
238,873,3
1324,873,2
1126,874,3
1168,874,3
72,877,2
395,895,2
512,895,2
1324,895,3
1493,895,2
1542,895,3
1545,895,2
753,899,2
44,903,3
519,903,3
994,903,22
1075,903,3
1324,903,10
58,905,10
78,905,2
259,905,3
264,905,2
276,905,2
279,905,2
399,905,4
1722,905,4
532,905,2
994,905,31
1131,905,10
1195,905,3
1324,905,444
1504,905,2
1505,905,3
7400,905,59
616,905,2
617,905,6
682,905,7
717,905,4
719,905,4
27,907,2
57,907,2
207,907,4
194,910,2
1216,910,2
1091,2431,5
1262,2431,4
1324,2431,7
682,2431,3
